Step,Tension_Force_1,Tension_Force_2,Tension_Force_3,Tension_Force_4,Tension_Force_5,Tension_Force_6,Tension_Force_7,Tension_Force_8,Tension_Force_9,Tension_Force_10,Tension_Force_11,Tension_Force_12,Tension_Force_13,Tension_Force_14,Tension_Force_15,Tension_Force_16,Tension_Force_17,Tension_Force_18,Tension_Force_19,Tension_Force_20,Tension_Force_21,Tension_Force_22,Tension_Force_23,Tension_Force_24
43,-1.0,1.0,1.0,-0.09141363,-1.0,-1.0,-0.13932654,1.0,-1.0,-0.8973736,-0.76897955,-0.6777937,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.40349108,-1.0,-1.0,1.0
44,-1.0,1.0,1.0,-0.8465459,-0.4241597,-0.6072542,0.117450625,1.0,-1.0,0.110449016,-1.0,-0.8429593,1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.86073625,1.0,-1.0,-1.0,0.83160365,1.0
45,-1.0,0.3416639,1.0,-1.0,-1.0,-0.34201062,0.42753586,1.0,-0.5242934,-0.07957214,-1.0,-1.0,1.0,-1.0,1.0,-0.7160492,1.0,-1.0,-0.20034686,1.0,-0.022043765,-1.0,0.004828453,1.0
46,-1.0,0.9305709,1.0,-0.59777915,-0.080939144,-1.0,0.19167492,0.58006066,0.3665159,0.5511537,-1.0,-0.956793,1.0,-1.0,1.0,-0.17809787,1.0,-1.0,-0.47077426,1.0,-1.0,-0.40515924,-0.36144477,1.0
47,-1.0,1.0,1.0,-0.9539657,-0.039670557,-1.0,1.0,0.4239669,0.39683512,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.12190947,1.0,-1.0,-0.5300193,1.0,-1.0,-1.0,0.23093122,1.0
48,-1.0,0.8239574,1.0,-1.0,0.30859375,-0.77113444,0.44391242,0.4540784,0.95236516,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.03824675,1.0,-1.0,-0.89460576,1.0,-1.0,-1.0,-0.15795183,1.0
49,-1.0,1.0,1.0,-0.5843421,0.3543695,-0.49396938,0.21653655,1.0,0.7663146,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.6316489,1.0,-1.0,-1.0,1.0,-1.0,-0.65588915,-0.28000456,1.0
50,-1.0,0.56112945,1.0,-0.894544,0.24647862,-0.17389807,0.8174187,1.0,0.7453109,0.2975165,-0.27862197,-1.0,1.0,-1.0,1.0,-0.40029922,0.5451668,-1.0,-1.0,1.0,-1.0,-0.51127434,-0.3942721,1.0
51,-0.7857549,-0.6120669,1.0,-0.8617331,1.0,-0.6256574,0.28893474,0.9798784,1.0,-0.55245525,-1.0,-0.7951904,1.0,-1.0,1.0,0.29081517,0.40323442,-1.0,-1.0,1.0,-1.0,-0.6025903,-0.88864195,1.0
52,-1.0,-0.458072,1.0,-0.49576753,1.0,-1.0,0.3875195,0.6719224,1.0,-0.61777633,-0.8761557,-0.17372018,1.0,-1.0,1.0,0.8554307,0.028232664,-1.0,-1.0,1.0,-1.0,-0.28747833,-0.8833473,1.0
53,-1.0,-0.5340099,1.0,-0.47391587,1.0,-0.9822257,-1.0,0.7611588,1.0,-1.0,-0.79793733,-0.10042918,1.0,-1.0,1.0,1.0,0.5306469,-0.95149004,-1.0,1.0,-1.0,0.68005335,-0.88076365,1.0
54,-1.0,-0.8802838,1.0,-0.21286778,1.0,-0.6474101,-0.39445624,0.5056206,0.7431613,-1.0,0.19297774,-1.0,1.0,-1.0,1.0,0.6748545,-0.22479501,-1.0,-1.0,1.0,-1.0,-0.1904235,-0.7576589,1.0
55,-1.0,-0.37958175,1.0,-0.47250468,1.0,-1.0,0.041235298,0.6102508,1.0,0.59447557,-0.08813338,-0.9815768,1.0,-1.0,1.0,-0.2757889,0.36464876,-1.0,-1.0,1.0,-1.0,0.4941994,0.13860285,1.0
56,-0.97156215,-0.40129936,1.0,-1.0,1.0,-1.0,-0.2367634,0.50418556,1.0,1.0,0.061822668,0.011011481,0.41908824,-1.0,1.0,-0.7282289,1.0,-1.0,-0.63811696,1.0,-1.0,0.5685272,-0.04945588,1.0
57,-1.0,-0.3281594,1.0,-1.0,0.80372715,-1.0,0.11860263,1.0,1.0,1.0,0.4869287,0.45301485,0.64117396,-1.0,1.0,-0.9944353,1.0,-0.85650086,-0.976401,1.0,-1.0,0.30225325,-0.2938966,1.0
58,-1.0,1.0,1.0,-1.0,0.77963656,-0.40836746,-0.310229,1.0,1.0,1.0,1.0,-0.75124276,0.60158265,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.27310342,1.0
59,-1.0,0.5345711,1.0,-1.0,1.0,-0.42305666,-0.28846717,1.0,1.0,1.0,0.85521567,-1.0,0.37596694,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.06929529,1.0
60,-1.0,0.45272595,1.0,-1.0,1.0,-0.69713384,0.032138318,1.0,1.0,1.0,1.0,-0.9850817,0.938452,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.071114,1.0
61,-1.0,0.4244581,1.0,-0.84812677,1.0,-0.69677544,-0.01428467,1.0,1.0,1.0,1.0,-0.8208767,0.98768294,-1.0,1.0,-1.0,0.6225283,-1.0,-1.0,1.0,-1.0,1.0,0.3067236,1.0
62,-1.0,0.34806338,1.0,-1.0,1.0,-0.61399734,-0.2916894,1.0,1.0,0.6994406,1.0,-0.43055356,1.0,-1.0,1.0,-1.0,0.14750549,-1.0,-1.0,1.0,-1.0,1.0,-0.13648838,1.0
63,-1.0,0.43699747,1.0,-1.0,0.88694966,-0.5846474,-0.3754897,1.0,1.0,1.0,1.0,-0.19701397,1.0,-1.0,1.0,-1.0,0.15421131,-1.0,-1.0,1.0,-1.0,1.0,-0.08944774,1.0
64,-1.0,0.7424376,0.93563515,-1.0,1.0,-0.86459374,-0.44928628,0.40229127,1.0,1.0,1.0,-0.8238591,1.0,-1.0,1.0,-1.0,-0.13604221,-1.0,-0.9572294,1.0,-1.0,1.0,-0.16711974,1.0
65,-1.0,0.25693887,0.8616348,-1.0,1.0,-0.82173634,-0.6624181,1.0,1.0,1.0,1.0,-0.61257154,1.0,-1.0,1.0,-1.0,-0.30036846,-1.0,-0.72320724,1.0,-1.0,1.0,-0.14417928,1.0
66,-1.0,0.14267537,1.0,-1.0,0.67447364,-1.0,-0.1416317,0.858824,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.600331,-1.0,-0.78597236,1.0,-1.0,1.0,0.10245091,1.0
67,-1.0,-0.18712169,1.0,-0.91859984,1.0,-1.0,-0.3294813,1.0,1.0,0.9747875,0.34431797,-0.7900468,0.7370992,-1.0,1.0,-1.0,0.76130915,-1.0,-0.33290926,1.0,-1.0,1.0,-0.081909835,1.0
68,-1.0,1.0,1.0,-0.9316816,1.0,-1.0,-0.5137968,1.0,1.0,0.47406667,0.4210394,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.8671422,1.0,-1.0,1.0,0.18511236,1.0
69,-0.90518045,-0.3672155,1.0,-0.6842282,1.0,-0.68525934,0.17823982,1.0,1.0,-1.0,0.67042106,-1.0,1.0,-1.0,1.0,-0.7226598,1.0,-1.0,-1.0,1.0,-1.0,-0.1399454,-0.19857967,1.0
