Step,Tension_Force_1,Tension_Force_2,Tension_Force_3,Tension_Force_4,Tension_Force_5,Tension_Force_6,Tension_Force_7,Tension_Force_8,Tension_Force_9,Tension_Force_10,Tension_Force_11,Tension_Force_12,Tension_Force_13,Tension_Force_14,Tension_Force_15,Tension_Force_16,Tension_Force_17,Tension_Force_18,Tension_Force_19,Tension_Force_20,Tension_Force_21,Tension_Force_22,Tension_Force_23,Tension_Force_24
35,-11.684757848681475,0.0,-15.826941941984876,-9.7495273466083,-16.212307779351836,-0.489993119462875,-15.922707618137004,0.0,-16.195399207482968,-15.72810499494941,-6.137566487378151,-4.34941876794751,0.0,-11.083219281201623,0.0,-16.31945994626121,-13.449538830399632,-16.004501056477903,-15.960297149356924,0.0,0.0,0.0,-15.851581441632035,0.0
36,-15.705752004323113,0.0,-16.239492778550684,0.0,-16.200475864215598,-7.080736403234577,-16.261876035368573,-4.809932396528997,-15.73139072661846,-14.480602459300405,0.0,-2.8993107068544046,-8.918769040415988,-0.6878623502840546,-15.74949916278011,-15.99514633379517,-12.194171725680707,-15.726595490348956,-16.293501987968,-1.8849221027602723,0.0,-15.746122308771646,-16.178795424315087,0.0
37,-15.998872413068424,0.0,-16.314759518898782,-14.39395505537988,-16.204403935166745,-7.816497506856532,-15.513234170274725,0.0,-16.093213199752302,-16.285258997705395,-6.897169080824785,0.0,0.0,-16.24870044078131,0.0,-15.945817876561257,-9.75306378741705,-16.099060506199816,-16.24217254090657,-1.039145499028044,0.0,-16.280373169171764,-15.929305820923057,-0.7662771628209947
38,-13.796069612122631,0.0,-13.534567500937161,-15.768843839094036,-15.718019601694056,0.0,-15.973813486863135,0.0,-15.881966586798951,-15.707755082944955,-15.806522508672149,-2.458608982069214,0.0,-16.081812652014438,0.0,-16.18055426180548,-8.59758748331909,-16.179862257534385,-15.844008861740924,0.0,0.0,-15.706468253404065,-16.061350508551428,0.0
39,-15.281622575376293,0.0,-15.035478092770724,-16.168090788209103,-16.209751720301895,-3.0869711513742693,-13.38543975766097,0.0,-15.871103043102305,-16.3058736428344,-15.798805538566569,-0.14544451076107118,0.0,-16.00194457759407,0.0,-15.920744468530524,0.0,-15.798155811393576,-16.173726870669075,0.0,0.0,-16.144769626333733,-15.779485346163469,0.0
40,-14.990126398017109,0.0,-5.899691387400555,-15.739315599640278,-15.73173084258724,-8.875416775495305,-11.286737019444708,0.0,-15.9521670476818,-15.978674256877358,-16.29464748279851,-3.2698585379590552,0.0,-15.907421448634212,0.0,-15.892408984931993,-1.772641363988906,-16.23769934615555,-15.787501437145844,0.0,0.0,-16.09385183020378,-16.151238391429985,0.0
41,-13.761693947525547,0.0,-9.188266717227188,-15.110985235998946,-15.862005401385252,-15.871397690837341,-3.504717694816429,0.0,-16.200359057827445,-9.2317991354942,-4.435628379809217,-6.940761405033475,0.0,-15.9307924424752,0.0,-16.275066274764622,-2.473835400376821,-16.029013008374832,-16.04620676756396,0.0,0.0,-15.825552168157431,-14.506883063881029,0.0
42,-14.749441841182227,0.0,0.0,-15.892624124724467,-16.27076657234716,-16.116875419405343,-3.4423896781805374,0.0,-15.738369105530786,-15.890401552845859,-7.923621463335321,-11.882975852493919,0.0,-16.285384814062237,0.0,-16.072776793094015,-5.120175447537872,-15.982253624908504,-16.236921658889578,0.0,0.0,-15.833155512975981,-15.372249558381439,0.0
43,-15.780165321153536,0.0,0.0,-8.837807550480223,-16.049393182261152,-16.13979530443524,-9.1397162977414,0.0,-16.011282188783436,-15.354040877990055,-14.305668035761999,-13.596272805917506,0.0,-15.924331470701029,0.0,-16.171299903629873,0.0,-16.137306647124053,-16.003412380324423,0.0,-11.266904776365969,-15.996857080887716,-15.765641367687143,0.0
44,-15.91503159494941,0.0,0.0,-14.639132365773289,-11.325593239199277,-13.055109118730966,-7.163308005282106,0.0,-15.72928587019404,-7.150681597785171,-16.033863904550927,-14.899520626470698,0.0,-16.16521578767081,0.0,-16.035015635137768,0.0,-16.061389848404055,-14.933520484541107,0.0,-16.301938687536357,-15.685356152677773,-1.322744138257443,0.0
45,-15.97723418733631,-5.264702812484852,0.0,-16.256457975007553,-16.119635937454166,-10.626768753856966,-4.497704173847421,0.0,-12.152517398851145,-8.525134395384201,-16.01798259043973,-15.774117066074488,0.0,-15.758037516493578,0.0,-13.944500113023748,0.0,-15.831468016352414,-9.556007284061177,0.0,-8.329365236318939,-15.978275005326008,-8.00307706510639,0.0
46,-15.757722984531322,-0.5628724257636606,0.0,-12.684580366483285,-8.746459444924573,-15.740882609203204,-6.380274941199083,-3.3685667581385905,-4.966978068119989,-3.6240006595239733,-16.06408128106042,-15.613549766389609,0.0,-16.064460293495344,0.0,-9.59670993267007,0.0,-15.747577785060876,-11.799718390904927,0.0,-16.278806323704266,-11.294474291033307,-10.800699042726084,0.0
47,-16.076683948435033,0.0,0.0,-15.746450245841853,-8.434149152864508,-15.74624415906398,0.0,-4.522312126700036,-4.744107038265955,0.0,-15.999073804122496,-15.700430040229763,0.0,-15.93053334784798,0.0,-9.013942206615342,0.0,-15.69449826179536,-12.18772162886032,0.0,-16.246631492539844,-15.919633433556724,-6.067830637361876,0.0
48,-15.909144304163378,-1.3905410264216775,0.0,-15.746842003729475,-5.550701317378247,-14.4089393011859,-4.430289105903397,-4.351230422674967,-0.37803681113931026,0.0,-16.253059353896397,-16.258168252166342,0.0,-15.9419608430906,0.0,-7.818046659314755,0.0,-16.19764032092393,-15.266149331827588,0.0,-15.743507541976001,-16.18017064349666,-9.099625878416335,0.0
