Step,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30,data_31,data_32,data_33,data_34,data_35,data_36
21,-1.9477786992128037,1.768376819676556,9.968211462669007,0.2267772115155447,1.7168676405704657,3.9312296837993754,2.633278132936807,2.82347357157001,4.529083907174513,0.8978827443571951,4.2788737329092585,-2.2769244617005784,-0.3001639500247928,-5.586449642905702,5.0842219956327925,1.120317022733884,2.301542064263155,4.235818551889605,6.36383060350034,1.3444252855778414,-1.5442014190191433,1.3947168002871857,1.6634251091634729,-3.487758897725612,2.3672739203012627,4.193332523477282,-1.9343201065467215,0.31307981651891725,0.040537279675946655,-2.439234041626129,3.8209828024773627,8.360730339430349,0.9793287893691798,0.4073425500519603,-0.238898904454361,-5.376435540758527
22,-2.3526321529231047,2.332131655413816,12.758569464270549,0.23107611602814995,1.7228687515212364,3.4993885220743173,2.4881210954353645,3.9524253236528684,2.533068780629646,1.1323133483813856,4.321342801116875,-3.028516059548595,-1.510682575865137,-3.4953352794578363,3.4802671109133967,1.269440697754694,2.2877326644995706,4.6038965699778895,7.657733674782418,0.7353658964024808,-2.7678241912730597,1.264404816793624,1.9139083594583777,-5.23173418324883,1.1373465780110326,2.8626758376734234,-2.0153036279386742,0.8430204641238821,-0.16470739095160128,-2.6168953255238,4.0390101773287945,4.495681733467981,6.695506033820294,0.88661073097,-0.26680503583714893,-6.578348324760785
23,-1.8810478215741364,1.411526274457337,14.91078425225731,0.2427193402422622,1.7133945434843934,2.792666469211734,2.6934485800474355,4.260680170711875,1.0219486337256192,1.2456382855648627,4.481035725912593,-3.2510924923071394,-1.7761602826115588,-2.0332591322269855,2.511234753872386,1.395849625298128,2.3735204085822974,4.8410437438614204,7.45171086592077,0.741455662980563,-3.815019685999464,1.0466777317106188,2.093449569063726,-6.70264448674002,-0.057120155256815956,1.2152000880973306,-2.2430983441266896,1.3492359016614026,-0.4196946758249511,-2.768673033535692,4.6965868237365695,2.3083684140335023,7.983273589860611,1.160845489985105,-0.22355004933797076,-7.569935866244674
24,-1.6765313349789381,0.8475598894030505,15.58080716383748,0.08808710534594487,1.4924386928229039,1.8917834528798803,3.0936708368189185,4.5571449014295835,-0.033840417213860025,1.4500298754698455,4.478226371948354,-3.358976806290963,-2.3329398875408565,-1.180310214504644,1.700341816438679,1.4807159896697855,2.4108075991422258,4.963609344132264,6.469160154984599,0.9629764468171609,-4.44623684978801,0.7958824021361554,2.1751326418326373,-7.766101082103742,-1.2121497278944315,-0.47735095731776206,-1.8709621565700199,1.6909481118249163,-0.6525443692531284,-3.2920529359340645,5.286923335548828,0.5657255862275471,8.08523000873687,1.4990326139566106,-0.09381830006340816,-8.41836267583315
25,2.2345116193324417,1.187767794625855,7.118284201179314,0.0348822465450935,1.1920199652012269,0.6373333390388058,5.185628135902936,0.038399597430796475,-0.8990705002195837,1.43790057335806,4.45870967953619,-3.067712105323392,-2.3255100370468247,-2.551343789316168,-1.9795455372157928,1.5780906887631319,2.5556096687721364,4.719365749550798,-1.1866370297384279,5.82785316516045,-3.5150145527859302,0.5922413433692829,2.0883553505312618,-8.577735693826266,-1.908377665327177,4.491331272797301,-0.07550343454263199,1.7479729121608423,-0.8685296775288386,-4.10542078632848,6.454988279877499,-3.0427817053571813,5.6057272934548745,2.0323128365467764,0.2555047144881468,-8.754468085093192
26,3.246496684739006,1.0588881985695775,4.37325953688311,0.1890488803377587,1.2429531104150293,-0.5313310211200636,5.762899954171636,-0.9357928050387139,-1.249249520069584,1.295522214329302,4.360976043547585,-2.365417616551086,-3.8063995063203575,-2.936935346730462,-3.156428518978829,1.5711088422536077,2.8285249064895654,4.224368983477845,-4.275606591791961,6.6804460544170725,-2.480965573496479,0.7252471065289935,2.264238626216304,-8.258909692298133,-2.01402751825621,4.813502288233844,0.40231420727739736,1.9007756153440816,-0.9395165306262085,-5.009693904735297,5.963481872743718,-6.010670442886535,4.433307558378029,2.550401046831362,0.7196401310699094,-8.80278183793252
27,3.1716000096861605,0.7231301341298044,3.4141025270692382,0.2992160610198235,1.4552498865599834,-1.812675876948913,5.659944265939358,-0.6499571473312242,-1.6996447183156338,1.1376437494233886,4.222803896519437,-1.3632730268538167,-5.337891811121508,-2.819390800825927,-3.204596432852166,1.4186455490203096,3.160788993740078,3.584185280603564,-5.609449198475009,6.13203233425715,-1.5284981406152132,0.9677218542055185,2.469695402361522,-7.153474504972276,-1.986903501225611,3.7816763359659067,0.52181100722366,2.0244954448186343,-0.9843961793003145,-6.016092566890337,5.079055611212706,-7.92998983560286,3.6358676587162266,2.946178184647277,1.1124513141529007,-8.3252870410367
28,2.3677511346994518,0.3349416739220561,2.577983534435603,0.30579976930134806,1.714303485551533,-3.267323004568065,2.9666210112475935,-4.8456810449790675,14.245293776437919,1.0094747954129604,4.014227364075318,-0.29028659209106206,-7.883173690223601,-3.0293132676914953,-2.7342430059535014,1.1616694648702834,3.479404895713576,2.7312344996147404,-8.692673951315248,4.213963330814472,2.08337264694064,1.2613337461393794,2.5977723048000563,-5.667923577097729,-1.7557760475564976,4.158890474674961,-2.0551619804239154,2.0574535958162397,-0.9896833408708338,-6.987040175602763,3.489370361769645,-8.051704443193634,5.505132139212751,3.2747979218630947,1.4070056755302633,-7.395995529751947
29,-0.022498550654304384,-0.44341018750758765,1.719326349828233,0.21491265386572822,1.9149593728934309,-4.784771657377457,-1.5059006955774563,-4.141151853654579,16.00296696237227,0.8669326614198865,3.953765126126266,0.03683569006735729,-8.594414128998169,-3.0917266008965147,-1.3472893967538504,1.0466978526804298,3.438265708630157,1.6959022710852645,-9.620782411761045,-2.745292576452018,1.1461828553897822,1.2838748559186228,2.539602855408767,-3.6486470176866006,1.0242642339788584,8.424879755899662,1.2741809657673757,2.0186197931596346,-0.9041434478770743,-8.179257976165607,6.214937604373974,0.6250215936302186,-2.8288696151391135,3.451218144536772,1.2121652599230397,-6.001635361248778
30,-0.4948406285831571,-1.5562327799294058,3.077606938523861,0.1667327815239852,2.1114573933063165,-6.414745102868335,-4.449830942424179,-3.693892851021313,15.753868036253762,0.7625682584935812,3.9132698329786573,-0.04995624490416474,-6.937541656591331,-2.4653264711134075,-0.5834586783979349,1.0732271350334974,3.4403636812336025,0.5384952198816,-11.337575610392427,-4.973597359653849,0.08359242534719759,1.150634102972188,2.417850377969667,-0.994735253169482,1.6537231976505642,10.82375512606944,3.0887068197435465,2.053651166394564,-0.7639147447336021,-9.558426793682615,7.374123162053817,4.467651791930583,-5.352876661622508,2.862468984169594,0.7523030899165593,-4.26197550427046
